Point: 45.5248379965819, 7.89041572393781 (cat: 1)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.5282359012659, 7.92154815954993 (cat: 2)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4912358118865, 7.92639076423516 (cat: 3)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.5080406848508, 7.90840607664662 (cat: 4)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.5114329010992, 7.93953606506502 (cat: 5)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4878413480679, 7.89527172159021 (cat: 6)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.5046405336408, 7.87728459329219 (cat: 7)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4234165206154, 7.65158518440308 (cat: 8)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4401796534709, 7.63358786642299 (cat: 9)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4066458267637, 7.66957689612498 (cat: 10)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4031894425499, 7.63855057306011 (cat: 11)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4199544524321, 7.62055652797015 (cat: 12)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0508072720867, 7.18453571205899 (cat: 13)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0481907289209, 7.32566159403581 (cat: 14)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0817426154405, 7.28976641588738 (cat: 15)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0852697795469, 7.32058565742659 (cat: 16)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0340502291411, 7.20248918879706 (cat: 17)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0446671729991, 7.29485541802851 (cat: 18)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.057904273235, 7.24610876486339 (cat: 19)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0543596243148, 7.21531786468804 (cat: 20)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0614412119164, 7.27690839852186 (cat: 21)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.030495845566, 7.171717925549 (cat: 22)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0782077273916, 7.25895589195229 (cat: 23)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 44.9969705222106, 7.20761274334928 (cat: 24)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0711148071595, 7.19736105331861 (cat: 25)
azimuth,horizon_height
90.000000,-0.000000
45.000000,33.099336
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0137369439907, 7.18966806667129 (cat: 26)
azimuth,horizon_height
90.000000,73.343409
45.000000,52.834060
0.000000,19.935410
315.000000,46.609239
270.000000,21.743133
225.000000,56.997652
180.000000,24.754270
135.000000,65.077898
-----
Point: 45.0675567888457, 7.16657676676159 (cat: 27)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0375969161912, 7.23326920132538 (cat: 28)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0746651223212, 7.2281540997344 (cat: 29)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0472472234908, 7.15376232101125 (cat: 30)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0411358997848, 7.26405794909243 (cat: 31)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0172856634514, 7.22043719594925 (cat: 32)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.0649704334372, 7.30771675157205 (cat: 33)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.3997251982198, 7.60753286689634 (cat: 34)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.3962531006332, 7.57652379221767 (cat: 35)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4130067428117, 7.55852511800434 (cat: 36)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.4164845242081, 7.58953650097795 (cat: 37)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.1642469668744, 8.03180139182181 (cat: 38)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.1270867805616, 8.03657395005424 (cat: 39)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.181147663715, 8.0139012325429 (cat: 40)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.1675867044015, 8.0628255490287 (cat: 41)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.1473387683504, 8.04969591247054 (cat: 42)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
Point: 45.1844930696047, 8.04492786472982 (cat: 43)
azimuth,horizon_height
90.000000,-0.000000
45.000000,-0.000001
0.000000,-0.000000
315.000000,-0.000001
270.000000,-0.000000
225.000000,-0.000001
180.000000,-0.000000
135.000000,-0.000001
-----
